Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q9NR30,sp|Q9NR30|DDX21_HUMAN,34,40,39,0.91872,0.82774,1.3054,0.024726281261780662,0.9117162740829639,0.9473859248686823
Q9NRC6,sp|Q9NRC6|SPTN5_HUMAN,1,0,0,,,,,,
Q9NRG9,sp|Q9NRG9|AAAS_HUMAN,3,2,1,1.0192,1.0767,,,,
Q9NRH2,sp|Q9NRH2|SNRK_HUMAN,0,1,0,,,,,,
Q9NRL2,sp|Q9NRL2|BAZ1A_HUMAN,3,2,1,0.827,0.86677,,,,
Q9NRN7,sp|Q9NRN7|ADPPT_HUMAN,9,9,8,2.3914,2.1358,1.5142,1.0099204095930643,0.01765761685661726,0.04997091232948338
Q9NRP0,sp|Q9NRP0|OSTC_HUMAN,1,0,1,,,0.93139,,,
Q9NRW7,sp|Q9NRW7|VPS45_HUMAN,0,0,1,,,,,,
Q9NRX1,sp|Q9NRX1|PNO1_HUMAN,2,3,3,0.88324,1.0266,0.75478,-0.17103269501799961,0.22755340900565316,0.3214797097441568
Q9NRZ9,sp|Q9NRZ9|HELLS_HUMAN,42,41,36,0.56757,0.48936,0.36097,-1.0812067132716574,0.000937408635185293,0.007872494602940573
Q9NSD9,sp|Q9NSD9|SYFB_HUMAN,2,1,1,0.97168,,,,,
Q9NSE4,sp|Q9NSE4|SYIM_HUMAN,1,1,2,,,0.95823,,,
Q9NSI2,sp|Q9NSI2|SLX9_HUMAN,7,7,8,1.9788,1.6926,1.1897,0.6963203120764268,0.05467085855365271,0.11000439418068303
Q9NSP4,sp|Q9NSP4|CENPM_HUMAN,1,1,0,,,,,,
Q9NTI5,sp|Q9NTI5|PDS5B_HUMAN,10,12,11,0.80978,0.93132,1.1373,-0.059695409019123326,0.6933473062595984,0.7685853278069672
Q9NTJ3,sp|Q9NTJ3|SMC4_HUMAN,2,1,1,0.67128,,,,,
Q9NU22,sp|Q9NU22|MDN1_HUMAN,12,14,18,0.81011,0.99132,0.95764,-0.12078044114060217,0.2224357666078027,0.3162684133352912
Q9NUU7,sp|Q9NUU7|DD19A_HUMAN;sp|Q9UMR2|DD19B_HUMAN,1,1,1,,,,,,
Q9UMR2,sp|Q9NUU7|DD19A_HUMAN;sp|Q9UMR2|DD19B_HUMAN,1,1,1,,,,,,
Q9NV06,sp|Q9NV06|DCA13_HUMAN,11,9,11,1.598,1.3381,0.99272,0.38913357110801083,0.15213695707858896,0.23438269025564518
Q9NV31,sp|Q9NV31|IMP3_HUMAN,2,5,3,1.0596,1.1915,1.4408,0.2994009754862753,0.10802514185280175,0.1793217354756509
Q9NVI1,sp|Q9NVI1|FANCI_HUMAN,8,9,8,0.82401,0.7542,0.64722,-0.43087837860593436,0.00737378520274633,0.027201074303464242
Q9NVI7,sp|Q9NVI7|ATD3A_HUMAN;sp|Q5T2N8|ATD3C_HUMAN,2,0,1,,,1.3098,,,
Q5T2N8,sp|Q9NVI7|ATD3A_HUMAN;sp|Q5T2N8|ATD3C_HUMAN,2,0,1,,,1.3098,,,
Q9NVM6,sp|Q9NVM6|DJC17_HUMAN,1,2,1,2.2106,1.9166,,,,
Q9NVM9,sp|Q9NVM9|INT13_HUMAN,2,2,1,0.93511,0.89708,,,,
Q9NVN8,sp|Q9NVN8|GNL3L_HUMAN,6,5,3,1.0518,0.89582,1.1669,0.05404733604999846,0.6524069277068881,0.7292898989854776
Q9NVP1,sp|Q9NVP1|DDX18_HUMAN,33,35,34,1.188,1.0674,1.4089,0.2885751224720372,0.09116239556764441,0.1609710775230342
Q9NVP2,sp|Q9NVP2|ASF1B_HUMAN,2,2,1,1.9079,1.6292,,,,
Q9NVU7,sp|Q9NVU7|SDA1_HUMAN,3,3,4,1.2485,1.0085,0.95,0.09626185305840348,0.4919739923246337,0.5792034235878666
Q9NVV0,sp|Q9NVV0|TM38B_HUMAN,1,0,1,,,,,,
Q9NW13,sp|Q9NW13|RBM28_HUMAN,31,31,34,1.0286,0.9839,1.1007,0.05343576151469782,0.32961965644747104,0.43254437130656276
Q9NW64,sp|Q9NW64|RBM22_HUMAN,11,10,12,1.9211,1.7363,1.103,0.6661203025958312,0.07691520121768823,0.1395401464714344
Q9NW82,sp|Q9NW82|WDR70_HUMAN,7,8,3,1.3902,1.4254,0.7282,0.2403346846756961,0.46885181018902905,0.5579168494005651
Q9NWH9,sp|Q9NWH9|SLTM_HUMAN,3,2,1,1.4238,,,,,
Q9NWQ4,sp|Q9NWQ4|GPT2L_HUMAN,0,1,0,,,,,,
Q9NWT1,sp|Q9NWT1|PK1IP_HUMAN,2,2,7,0.9508,0.66044,1.9154,0.2333318120085552,0.667556292993057,0.7437204338043454
Q9NWU5,sp|Q9NWU5|RM22_HUMAN,1,0,0,,,,,,
Q9NWY4,sp|Q9NWY4|HPF1_HUMAN;sp|A8MVJ9|HPF1L_HUMAN,0,2,1,,1.8057,,,,
A8MVJ9,sp|Q9NWY4|HPF1_HUMAN;sp|A8MVJ9|HPF1L_HUMAN,0,2,1,,1.8057,,,,
Q9NX20,sp|Q9NX20|RM16_HUMAN,1,1,1,,,,,,
Q9NX24,sp|Q9NX24|NHP2_HUMAN,4,2,5,1.2771,1.1121,2.1355,0.5928596400138813,0.1843926028709081,0.2726580264248701
Q9NX58,sp|Q9NX58|LYAR_HUMAN,26,30,30,0.91616,0.99503,1.3289,0.11107138669440582,0.5613264210237523,0.6448455770930303
Q9NXE4,sp|Q9NXE4|NSMA3_HUMAN,0,0,1,,,,,,
Q9NXE8,sp|Q9NXE8|CWC25_HUMAN,3,4,5,1.7537,1.7105,2.3689,0.9593003065468316,0.011322521531054454,0.035042691988157654
Q9NXF1,sp|Q9NXF1|TEX10_HUMAN,27,29,24,1.0406,0.98459,1.3575,0.17320846950709176,0.33357228409630535,0.4368678434712954
Q9NXR8,sp|Q9NXR8|ING3_HUMAN,1,1,1,,,,,,
Q9NXV6,sp|Q9NXV6|CARF_HUMAN,1,0,0,,,,,,
Q9NY12,sp|Q9NY12|GAR1_HUMAN,1,0,0,,,,,,
Q9NY61,sp|Q9NY61|AATF_HUMAN,11,15,14,0.71408,0.58141,0.48578,-0.7520562879661928,0.003573115046977763,0.01812746564531479
Q9NY93,sp|Q9NY93|DDX56_HUMAN,7,9,10,0.88321,0.8971,1.1414,-0.03814951297153407,0.771155930316136,0.8219061600801193
Q9NYF8,sp|Q9NYF8|BCLF1_HUMAN,10,7,7,0.70763,0.58159,0.67198,-0.6132258339849201,0.000765433497071263,0.0073261617578940525
Q9NYH9,sp|Q9NYH9|UTP6_HUMAN,1,0,2,,,0.6474,,,
Q9NYK6,sp|Q9NYK6|EURL_HUMAN,0,1,0,,,,,,
Q9NYP7,sp|Q9NYP7|ELOV5_HUMAN,1,1,0,,,,,,
Q9NYP9,sp|Q9NYP9|MS18A_HUMAN,4,5,4,1.593,1.0847,1.0801,0.32492578405532097,0.21194728175348,0.30200213537405735
Q9NYY8,sp|Q9NYY8|FAKD2_HUMAN,0,1,1,,,,,,
Q9NYZ3,sp|Q9NYZ3|GTSE1_HUMAN,1,1,1,,,,,,
Q9NZ01,sp|Q9NZ01|TECR_HUMAN,7,6,7,0.68057,0.76206,0.944,-0.32998757843232646,0.05844743191738519,0.11584804415863811
Q9NZ63,sp|Q9NZ63|TLS1_HUMAN,2,1,1,3.4017,,,,,
Q9NZB2,sp|Q9NZB2|F120A_HUMAN,0,2,0,,0.66199,,,,
Q9NZI8,sp|Q9NZI8|IF2B1_HUMAN,7,7,11,0.74894,0.80824,0.82544,-0.33241362381776374,0.0008879818733276842,0.007861599518527764
Q9NZJ7,sp|Q9NZJ7|MTCH1_HUMAN,0,0,2,,,0.76813,,,
Q9NZM5,sp|Q9NZM5|NOP53_HUMAN,9,8,10,1.8281,1.4746,1.7633,0.7558845763292577,0.003173076858220516,0.01699131478918083
Q9NZZ3,sp|Q9NZZ3|CHMP5_HUMAN,1,0,0,,,,,,
Q9P003,sp|Q9P003|CNIH4_HUMAN,1,1,1,,,,,,
Q9P016,sp|Q9P016|THYN1_HUMAN,2,3,1,1.9101,1.793,,,,
Q9P031,sp|Q9P031|TAP26_HUMAN,5,9,6,1.8948,1.6678,1.9267,0.8716596865937147,0.0005243698976586226,0.00580302686742209
Q9P035,sp|Q9P035|HACD3_HUMAN,6,9,10,0.66748,0.73831,0.90048,-0.37940107842586485,0.028484774589117228,0.06928164955008732
Q9P0M6,sp|Q9P0M6|H2AW_HUMAN,0,1,3,,,0.79843,,,
Q9P258,sp|Q9P258|RCC2_HUMAN,5,6,3,1.7638,1.2969,1.3734,0.5636788062177712,0.02975557725909044,0.07132744873659223
Q9P275,sp|Q9P275|UBP36_HUMAN,22,31,29,1.5318,1.3734,1.738,0.630156923796139,0.006564535207210893,0.025893129490477357
Q9P287,sp|Q9P287|BCCIP_HUMAN,1,2,1,,0.70628,,,,
Q9P2D1,sp|Q9P2D1|CHD7_HUMAN,4,4,2,0.81825,0.98244,1.2322,0.01573067302980121,0.9317935352604974,0.95429385142191
Q9P2D3,sp|Q9P2D3|HTR5B_HUMAN,0,0,2,,,0.81361,,,
Q9P2I0,sp|Q9P2I0|CPSF2_HUMAN,1,1,1,0.74377,,,,,
Q9P2J5,sp|Q9P2J5|SYLC_HUMAN,12,13,14,0.90448,0.91304,0.76267,-0.2174851940009249,0.04547104141969837,0.09677170353422986
Q9P2N5,sp|Q9P2N5|RBM27_HUMAN,2,0,0,,,,,,
Q9UBB4,sp|Q9UBB4|ATX10_HUMAN,1,4,3,,1.1408,1.0174,,,
Q9UBB9,sp|Q9UBB9|TFP11_HUMAN,1,1,1,,,,,,
Q9UBD5,sp|Q9UBD5|ORC3_HUMAN,6,7,4,0.60191,0.46768,0.73055,-0.7368533889153959,0.006211346843704146,0.024841493424609295
Q9UBF2,sp|Q9UBF2|COPG2_HUMAN,3,3,2,0.85188,0.86513,0.86189,-0.21820666877323264,3.888112923271518e-06,0.0005050167077810956
Q9UBM7,sp|Q9UBM7|DHCR7_HUMAN,4,4,2,0.68113,0.62664,0.92582,-0.4255981131327228,0.049978948360404264,0.10274310127340072
Q9Y5J3,sp|Q9Y5J3|HEY1_HUMAN;sp|Q9UBP5|HEY2_HUMAN,0,1,0,,,,,,
Q9UBP5,sp|Q9Y5J3|HEY1_HUMAN;sp|Q9UBP5|HEY2_HUMAN,0,1,0,,,,,,
Q9UBT6,sp|Q9UBT6|POLK_HUMAN,1,1,0,,,,,,
Q9UBU9,sp|Q9UBU9|NXF1_HUMAN,5,3,3,0.75216,0.70117,0.80607,-0.40902279531511326,0.0012328169724741325,0.008995499667283779
Q9UBX3,sp|Q9UBX3|DIC_HUMAN,4,2,3,0.56789,0.74713,0.83391,-0.4813440120446474,0.022317679474204752,0.05927575668348782
Q9UC06,sp|Q9UC06|ZNF70_HUMAN,1,1,0,,,,,,
Q9UEE9,sp|Q9UEE9|CFDP1_HUMAN,3,5,5,1.4799,1.1222,0.57065,0.08077134641851887,0.8382879761676186,0.8835289145639663
Q9UEG4,sp|Q9UEG4|ZN629_HUMAN,9,7,7,0.73717,0.73622,0.57881,-0.5477911630765125,0.00387537780399317,0.018826468146677516
Q9UFH2,sp|Q9UFH2|DYH17_HUMAN,1,1,1,,,,,,
Q9UG63,sp|Q9UG63|ABCF2_HUMAN,12,15,12,0.92813,0.90923,0.85839,-0.15427579147285725,0.008218762753350423,0.028193136262405192
Q9UGJ1,sp|Q9UGJ1|GCP4_HUMAN,0,1,0,,,,,,
Q9UGP8,sp|Q9UGP8|SEC63_HUMAN,0,1,3,,,1.2315,,,
Q9UGU0,sp|Q9UGU0|TCF20_HUMAN,0,0,1,,,,,,
Q9UGU5,sp|Q9UGU5|HMGX4_HUMAN,1,3,2,,1.0395,1.7092,,,
Q9UGY1,sp|Q9UGY1|NOL12_HUMAN,0,1,1,,,,,,
Q9UHA3,sp|Q9UHA3|RLP24_HUMAN,0,1,1,,,,,,
Q9UHB7,sp|Q9UHB7|AFF4_HUMAN,1,3,1,,1.1645,,,,
Q9UHB9,sp|Q9UHB9|SRP68_HUMAN,13,8,13,0.87624,1.1442,0.98422,0.002239247597777178,0.9850341399686477,0.9895047941591256
Q9UHD1,sp|Q9UHD1|CHRD1_HUMAN,4,1,3,1.1257,,0.56311,,,
Q9UHD2,sp|Q9UHD2|TBK1_HUMAN,1,1,0,0.8021,,,,,
Q9UHI6,sp|Q9UHI6|DDX20_HUMAN,1,0,2,,,0.92377,,,
Q9UHK0,sp|Q9UHK0|NUFP1_HUMAN,1,2,0,,,,,,
Q9UHR5,sp|Q9UHR5|S30BP_HUMAN,1,0,1,,,,,,
Q9UHX1,sp|Q9UHX1|PUF60_HUMAN,0,2,1,,,,,,
Q9UI10,sp|Q9UI10|EI2BD_HUMAN,2,5,4,1.1436,0.99703,0.85843,-0.0004521152812387399,0.9971457184623072,0.9986497089878913
Q9UI12,sp|Q9UI12|VATH_HUMAN,7,6,5,0.74139,0.85502,0.8346,-0.3034066727923029,0.00560573011786035,0.023558258216830837
Q9UI26,sp|Q9UI26|IPO11_HUMAN,7,8,5,1.0961,1.0549,0.72726,-0.05976558071790844,0.7455452595106249,0.8036396953166476
Q9UIA9,sp|Q9UIA9|XPO7_HUMAN,3,1,3,1.0319,,0.78803,,,
Q9UID3,sp|Q9UID3|VPS51_HUMAN,0,2,1,,1.1905,,,,
Q9UIF8,sp|Q9UIF8|BAZ2B_HUMAN,1,1,1,1.0116,0.4303,1.3654,-0.09577925611348176,0.8252844817309412,
Q9UIF9,sp|Q9UIF9|BAZ2A_HUMAN,22,28,21,1.0563,1.0685,1.2722,0.17929871749595774,0.13176828279212785,0.20981808099274074
Q9UIG0,sp|Q9UIG0|BAZ1B_HUMAN,14,11,13,0.79718,0.56535,0.79585,-0.4750136155740523,0.021950466142200222,0.05866819101192574
Q9UJA5,sp|Q9UJA5|TRM6_HUMAN,1,1,0,,,,,,
Q9UJS0,sp|Q9UJS0|S2513_HUMAN,4,1,6,0.78243,,0.93711,,,
Q9UJV9,sp|Q9UJV9|DDX41_HUMAN,4,2,3,1.1995,,0.92853,,,
Q9UK58,sp|Q9UK58|CCNL1_HUMAN,1,0,1,,,,,,
Q9UK61,sp|Q9UK61|TASOR_HUMAN,4,0,3,0.90688,,0.83346,,,
Q9UK76,sp|Q9UK76|JUPI1_HUMAN,2,3,2,2.0345,1.8878,2.2206,1.033957397202465,0.0004051906575138656,0.004982344381281607
Q9UKB3,sp|Q9UKB3|DJC12_HUMAN,0,0,1,,,,,,
Q9UKD1,sp|Q9UKD1|GMEB2_HUMAN,2,1,2,0.53593,,,,,
Q9UKD2,sp|Q9UKD2|MRT4_HUMAN,2,1,1,1.2968,,,,,
Q9UKF6,sp|Q9UKF6|CPSF3_HUMAN,1,1,1,,,,,,
Q9UKN8,sp|Q9UKN8|TF3C4_HUMAN,4,4,3,1.064,1.4232,0.33704,-0.0870998086780652,0.863420048848373,0.9028518306068026
Q9UKV3,sp|Q9UKV3|ACINU_HUMAN,3,4,3,0.62843,0.79892,0.76703,-0.4511491223615859,0.006831125032456279,0.026237006788801358
Q9UKX7,sp|Q9UKX7|NUP50_HUMAN,6,4,5,1.1826,0.77006,0.70888,-0.17270125218535784,0.4904452927863777,0.5784292618297598
Q9UKY7,sp|Q9UKY7|CDV3_HUMAN,1,1,0,,,,,,
Q9UL40,sp|Q9UL40|ZN346_HUMAN,1,3,0,,1.3913,,,,
Q9ULG1,sp|Q9ULG1|INO80_HUMAN,1,0,0,,,,,,
Q9ULI0,sp|Q9ULI0|ATD2B_HUMAN,1,0,1,,,,,,
Q9ULK4,sp|Q9ULK4|MED23_HUMAN,2,2,3,,0.73292,0.84544,,,
Q9ULW0,sp|Q9ULW0|TPX2_HUMAN,25,30,25,1.2137,0.99861,1.0857,0.1366332725019305,0.1869753617282373,0.2726580264248701
Q9ULW3,sp|Q9ULW3|ABT1_HUMAN,1,1,0,,,,,,
Q9ULX3,sp|Q9ULX3|NOB1_HUMAN,0,1,0,,,,,,
Q9UM00,sp|Q9UM00|TMCO1_HUMAN,1,1,1,,,,,,
Q9UM54,sp|Q9UM54|MYO6_HUMAN,11,13,8,2.2507,1.5629,0.88311,0.6466880159151769,0.22525497598121155,0.31959253002462495
Q9UMS4,sp|Q9UMS4|PRP19_HUMAN,1,0,2,,,,,,
Q9UMY1,sp|Q9UMY1|NOL7_HUMAN,2,4,1,1.5792,1.2886,,,,
Q9UNF1,sp|Q9UNF1|MAGD2_HUMAN,3,2,0,0.90344,1.305,,,,
Q9UNM6,sp|Q9UNM6|PSD13_HUMAN,0,1,1,,,,,,
Q9UNQ2,sp|Q9UNQ2|DIM1_HUMAN,2,4,4,0.44776,0.85261,1.0625,-0.3444222431887144,0.3043842554557103,0.4042222912451833
Q9UNS2,sp|Q9UNS2|CSN3_HUMAN,1,1,0,,,,,,
Q9UNX4,sp|Q9UNX4|WDR3_HUMAN,21,23,24,0.99507,1.1243,1.4938,0.2683026345881293,0.24319983835837786,0.3378340850836044
Q9UPP1,sp|Q9UPP1|PHF8_HUMAN,5,7,5,0.91157,0.80241,1.1469,-0.06850351583031489,0.6718975431495202,0.7473031300691482
Q9UPT8,sp|Q9UPT8|ZC3H4_HUMAN,2,2,2,1.4849,1.6807,,,,
Q9UPT9,sp|Q9UPT9|UBP22_HUMAN;sp|A6NNY8|UBP27_HUMAN,2,0,1,1.8941,,0.82466,,,
A6NNY8,sp|Q9UPT9|UBP22_HUMAN;sp|A6NNY8|UBP27_HUMAN,2,0,1,1.8941,,0.82466,,,
Q9UPU5,sp|Q9UPU5|UBP24_HUMAN,0,1,0,,,,,,
Q9UQ35,sp|Q9UQ35|SRRM2_HUMAN,6,5,3,1.8315,1.4961,1.6576,0.7326888841872072,0.0023994124584528183,0.014099202410731605
Q9UQ84,sp|Q9UQ84|EXO1_HUMAN,2,1,0,,,,,,
Q9UQE7,sp|Q9UQE7|SMC3_HUMAN,1,0,1,,,,,,
Q9UQR1,sp|Q9UQR1|ZN148_HUMAN,6,5,7,0.83449,0.66041,0.64284,-0.4888761030043279,0.00931501899905645,0.030171573733529182
Q9Y221,sp|Q9Y221|NIP7_HUMAN,1,0,1,,,,,,
Q9Y224,sp|Q9Y224|RTRAF_HUMAN,4,3,3,2.215,1.632,1.499,0.833497336859835,0.023659792899673515,0.06209526674064511
Q9Y262,sp|Q9Y262|EIF3L_HUMAN,4,5,3,0.83117,0.96853,0.86953,-0.16853887693366915,0.05440724156301061,0.10980671245543783
Q9Y263,sp|Q9Y263|PLAP_HUMAN,0,0,1,,,,,,
Q9Y266,sp|Q9Y266|NUDC_HUMAN,2,2,1,1.5687,1.2363,,,,
Q9Y277,sp|Q9Y277|VDAC3_HUMAN,3,6,3,0.81466,0.77075,0.98969,-0.22033404252129565,0.10158043026125582,0.1725048738963526
Q9Y285,sp|Q9Y285|SYFA_HUMAN,1,0,1,,,,,,
Q9Y295,sp|Q9Y295|DRG1_HUMAN,0,1,2,,,0.73384,,,
Q9Y2L1,sp|Q9Y2L1|RRP44_HUMAN,10,9,9,1.0938,1.1162,1.0073,0.1008879669240903,0.09457867231783844,0.16483002209723024
Q9Y2P8,sp|Q9Y2P8|RCL1_HUMAN,6,4,4,0.90622,0.93189,0.99255,-0.08382402797749504,0.09209491458403084,0.16177519387247746
Q9Y2Q3,sp|Q9Y2Q3|GSTK1_HUMAN,2,1,2,0.94282,,0.82031,,,
Q9Y2R4,sp|Q9Y2R4|DDX52_HUMAN,12,13,10,1.1575,1.2079,0.95408,0.14599475886968533,0.24179652040912297,0.3365888669846072
Q9Y2R5,sp|Q9Y2R5|RT17_HUMAN,1,0,1,,,,,,
Q9Y2T2,sp|Q9Y2T2|AP3M1_HUMAN,3,3,1,,1.205,,,,
Q9Y2U8,sp|Q9Y2U8|MAN1_HUMAN,1,0,1,,,,,,
Q9Y2W1,sp|Q9Y2W1|TR150_HUMAN,15,15,14,0.84882,0.71002,0.86903,-0.30527132598769563,0.018843180731228003,0.052570890779560474
Q9Y2W2,sp|Q9Y2W2|WBP11_HUMAN,1,3,2,,1.4531,0.72595,,,
Q9Y2X3,sp|Q9Y2X3|NOP58_HUMAN,20,23,25,0.84073,0.98739,1.176,0.001979941940329707,0.9893858608976784,0.9923749420484268
Q9Y2X9,sp|Q9Y2X9|ZN281_HUMAN,11,12,10,0.7423,0.52861,0.82328,-0.5185701608293771,0.026407209102722522,0.06542681658286476
Q9Y2Z0,sp|Q9Y2Z0|SGT1_HUMAN,1,1,1,,,,,,
Q9Y2Z2,sp|Q9Y2Z2|MTO1_HUMAN,1,0,0,,,,,,
Q9Y2Z4,sp|Q9Y2Z4|SYYM_HUMAN,2,2,0,1.469,1.0093,,,,
Q9Y305,sp|Q9Y305|ACOT9_HUMAN,2,2,0,0.75492,,,,,
Q9Y314,sp|Q9Y314|NOSIP_HUMAN,12,13,13,2.4037,2.2274,1.756,1.0901985376052534,0.004286531695467532,0.019362292828506402
Q9Y330,sp|Q9Y330|ZBT12_HUMAN,0,2,1,,1.3407,,,,
Q9Y383,sp|Q9Y383|LC7L2_HUMAN,1,0,1,,,,,,
Q9Y388,sp|Q9Y388|RBMX2_HUMAN,8,8,5,1.8707,1.626,2.2707,0.9429585837519369,0.007990192862961836,0.027923621373719256
Q9Y399,sp|Q9Y399|RT02_HUMAN,1,1,2,,,0.71579,,,
Q9Y3A2,sp|Q9Y3A2|UTP11_HUMAN,2,1,0,1.1342,,,,,
Q9Y3A4,sp|Q9Y3A4|RRP7A_HUMAN,3,5,5,1.6206,1.8226,1.4553,0.7073775395556792,0.003982491607812361,0.018826468146677516
Q9Y3A5,sp|Q9Y3A5|SBDS_HUMAN,2,0,1,,,,,,
Q9Y3B4,sp|Q9Y3B4|SF3B6_HUMAN,1,1,0,,,,,,
Q9Y3B9,sp|Q9Y3B9|RRP15_HUMAN,9,13,13,1.3885,1.117,1.1191,0.27285929168710965,0.0820834931642195,0.148107172448483
Q9Y3C1,sp|Q9Y3C1|NOP16_HUMAN,3,4,3,1.7965,1.6928,2.2538,0.9368671817146196,0.0060637631036482235,0.024550845736722077
Q9Y3I0,sp|Q9Y3I0|RTCB_HUMAN,0,0,1,,,,,,
Q9Y3I1,sp|Q9Y3I1|FBX7_HUMAN,1,1,1,,,,,,
Q9Y3T9,sp|Q9Y3T9|NOC2L_HUMAN,12,12,12,0.69265,0.71191,0.97602,-0.33364938887627954,0.08681334704860115,0.1556007813132702
Q9Y3U8,sp|Q9Y3U8|RL36_HUMAN,0,0,1,,,,,,
Q9Y3Y2,sp|Q9Y3Y2|CHTOP_HUMAN,1,1,1,,,,,,
Q9Y3Z3,sp|Q9Y3Z3|SAMH1_HUMAN,1,2,1,0.86522,0.77002,1.0574,-0.15594114311792356,0.29214211221711517,
Q9Y421,sp|Q9Y421|FA32A_HUMAN,2,1,3,6.2991,,2.0288,,,
Q9Y450,sp|Q9Y450|HBS1L_HUMAN,1,1,3,,,1.9082,,,
Q9Y490,sp|Q9Y490|TLN1_HUMAN,0,0,1,,,,,,
Q9Y4C2,sp|Q9Y4C2|TCAF1_HUMAN,1,0,1,,,,,,
Q9Y4C8,sp|Q9Y4C8|RBM19_HUMAN,12,14,10,0.64037,0.58046,0.5241,-0.7817933386005421,0.0002384113639766878,0.004128068564716571
Q9Y4R8,sp|Q9Y4R8|TELO2_HUMAN,6,8,7,1.0398,0.95098,0.81419,-0.09697715986308689,0.377890164188612,0.4825366711946892
Q9Y4W2,sp|Q9Y4W2|LAS1L_HUMAN,7,12,10,0.69569,0.75468,0.84661,-0.3852242056189171,0.005938619801020037,0.024550845736722077
Q9Y4W6,sp|Q9Y4W6|AFG32_HUMAN,4,2,0,0.86058,,,,,
Q9Y570,sp|Q9Y570|PPME1_HUMAN,2,2,1,2.0854,,,,,
Q9Y580,sp|Q9Y580|RBM7_HUMAN,1,0,0,,,,,,
Q9Y5A9,sp|Q9Y5A9|YTHD2_HUMAN;sp|Q9BYJ9|YTHD1_HUMAN;sp|Q7Z739|YTHD3_HUMAN,1,1,2,,,2.1029,,,
Q9BYJ9,sp|Q9Y5A9|YTHD2_HUMAN;sp|Q9BYJ9|YTHD1_HUMAN;sp|Q7Z739|YTHD3_HUMAN,1,1,2,,,2.1029,,,
Q7Z739,sp|Q9Y5A9|YTHD2_HUMAN;sp|Q9BYJ9|YTHD1_HUMAN;sp|Q7Z739|YTHD3_HUMAN,1,1,2,,,2.1029,,,
Q9Y5B6,sp|Q9Y5B6|PAXB1_HUMAN,1,0,0,,,,,,
Q9Y5B9,sp|Q9Y5B9|SP16H_HUMAN,31,35,25,1.3828,1.3401,0.90351,0.27357954392183154,0.2444360419267433,0.3388424464287214
Q9Y5J1,sp|Q9Y5J1|UTP18_HUMAN,6,7,11,0.92499,1.023,1.1239,0.034164055410891236,0.69787214698821,0.771026798003613
Q9Y5L0,sp|Q9Y5L0|TNPO3_HUMAN,4,4,2,0.87037,0.9825,0.80829,-0.1729072469310581,0.09105374788598523,0.1609710775230342
Q9Y5M8,sp|Q9Y5M8|SRPRB_HUMAN,1,1,0,,,,,,
Q9Y5Q9,sp|Q9Y5Q9|TF3C3_HUMAN,0,1,1,,,,,,
Q9Y606,sp|Q9Y606|PUS1_HUMAN,2,0,2,,,1.0366,,,
Q9Y618,sp|Q9Y618|NCOR2_HUMAN,0,0,1,,,,,,
Q9Y619,sp|Q9Y619|ORNT1_HUMAN,0,1,1,,,,,,
Q9Y672,sp|Q9Y672|ALG6_HUMAN,1,1,1,,,,,,
Q9Y673,sp|Q9Y673|ALG5_HUMAN,0,0,1,,,,,,
Q9Y678,sp|Q9Y678|COPG1_HUMAN,11,9,8,0.93184,1.1441,0.81576,-0.053044613356881015,0.7263287031709877,0.7893326659665071
Q9Y679,sp|Q9Y679|AUP1_HUMAN,1,0,3,,,1.0015,,,
Q9Y6C9,sp|Q9Y6C9|MTCH2_HUMAN,0,1,1,,,,,,
Q9Y6G5,sp|Q9Y6G5|COMDA_HUMAN,0,1,1,,,,,,
Q9Y6K0,sp|Q9Y6K0|CEPT1_HUMAN,1,1,0,,,,,,
Q9Y6V7,sp|Q9Y6V7|DDX49_HUMAN,3,1,1,1.1359,,,,,
