Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q96QE3,sp|Q96QE3|ATAD5_HUMAN,0,1,1,,,,,,
Q96QK1,sp|Q96QK1|VPS35_HUMAN,1,1,1,,,,,,
Q96QU8,sp|Q96QU8|XPO6_HUMAN,1,2,1,,0.79693,,,,
Q96RL1,sp|Q96RL1|UIMC1_HUMAN,2,3,2,,,,,,
Q96RQ3,sp|Q96RQ3|MCCA_HUMAN,12,10,10,0.35972,0.65761,0.51522,-0.9690283575879245,0.004722568103725184,0.02050964729841804
Q96SB4,sp|Q96SB4|SRPK1_HUMAN,0,0,1,,,,,,
Q96SI9,sp|Q96SI9|STRBP_HUMAN,14,19,15,0.65971,0.5746,0.47275,-0.8134487334034293,0.0013398797472377395,0.009365054233324833
Q96SK2,sp|Q96SK2|TM209_HUMAN,1,1,2,,,,,,
Q96ST2,sp|Q96ST2|IWS1_HUMAN,7,7,4,1.1702,0.94341,0.88673,0.00016349617335936049,0.9990185105902718,0.9990185105902718
Q96ST3,sp|Q96ST3|SIN3A_HUMAN,1,1,1,,,1.0893,,,
Q96T37,sp|Q96T37|RBM15_HUMAN,2,2,1,0.86218,0.67527,1.001,-0.24101465722343002,0.17837921223535677,
Q96T58,sp|Q96T58|MINT_HUMAN,1,1,1,,,,,,
Q96T76,sp|Q96T76|MMS19_HUMAN,3,4,4,1.0264,0.75047,0.96478,-0.12991809280370992,0.3612759345421755,0.46580042822525153
Q96T88,sp|Q96T88|UHRF1_HUMAN,1,1,3,,,1.0817,,,
Q99081,sp|Q99081|HTF4_HUMAN,6,9,7,1.784,1.2562,0.91948,0.40042134345566915,0.2724566132412862,0.3692065126371716
Q99459,sp|Q99459|CDC5L_HUMAN,4,6,6,1.0839,0.99011,1.1648,0.11050133632277995,0.18990504951635565,0.2753208578141051
Q99547,sp|Q99547|MPH6_HUMAN,1,1,2,,,1.2522,,,
Q99549,sp|Q99549|MPP8_HUMAN,2,2,2,1.2257,1.0144,1.4114,0.28352672985145566,0.1312013414337703,0.20941752575005643
Q99570,sp|Q99570|PI3R4_HUMAN,1,1,1,,,,,,
Q99575,sp|Q99575|POP1_HUMAN,15,17,15,1.2212,1.3207,1.0928,0.2768737915190923,0.032674372154959205,0.07507191387852219
Q99615,sp|Q99615|DNJC7_HUMAN,5,7,6,0.93598,0.92701,0.44348,-0.3792759731702647,0.22837500572436545,0.32150089925242553
Q99633,sp|Q99633|PRP18_HUMAN,2,6,3,1.503,1.1233,0.46063,0.04121026768770405,0.9287818118713265,0.95429385142191
Q99676,sp|Q99676|ZN184_HUMAN,1,3,3,,0.8773,,,,
Q99697,sp|Q99697|PITX2_HUMAN,0,1,0,,,,,,
Q99728,sp|Q99728|BARD1_HUMAN,1,0,0,,,,,,
Q99729,sp|Q99729|ROAA_HUMAN,1,2,1,,1.0085,,,,
Q99832,sp|Q99832|TCPH_HUMAN,6,8,9,0.69247,0.75102,0.85224,-0.3860095235883253,0.007330923864041162,0.02719404159621973
Q99848,sp|Q99848|EBP2_HUMAN,12,11,12,1.4872,1.4902,1.8955,0.6998181156148586,0.010001554866727465,0.032238021512170076
Q99986,sp|Q99986|VRK1_HUMAN,6,4,4,0.72135,0.86932,0.93433,-0.24867911285672378,0.06587959032757311,0.1239208158003075
Q9BPU6,sp|Q9BPU6|DPYL5_HUMAN,1,0,1,,,,,,
Q9BPX3,sp|Q9BPX3|CND3_HUMAN,4,7,6,,0.92636,0.73654,,,
Q9BQ04,sp|Q9BQ04|RBM4B_HUMAN;sp|Q9BWF3|RBM4_HUMAN,1,2,0,,0.57935,,,,
Q9BWF3,sp|Q9BQ04|RBM4B_HUMAN;sp|Q9BWF3|RBM4_HUMAN,1,2,0,,0.57935,,,,
Q9BQ39,sp|Q9BQ39|DDX50_HUMAN,29,30,34,1.337,1.2491,1.4257,0.4192871844412214,0.0027067343609750417,0.015463741302964898
Q9BQ52,sp|Q9BQ52|RNZ2_HUMAN,1,3,0,,1.2339,,,,
Q9BQ61,sp|Q9BQ61|TRIR_HUMAN,2,5,3,1.2812,1.5665,1.0235,0.36781834360619325,0.137697637883381,0.21567852268613
Q9BQ70,sp|Q9BQ70|TCF25_HUMAN,0,1,0,,0.93623,,,,
Q9BQ75,sp|Q9BQ75|CMS1_HUMAN,1,3,0,,1.3106,,,,
Q9BQB6,sp|Q9BQB6|VKOR1_HUMAN,3,2,2,1.0187,0.75315,0.99158,-0.11850243238182515,0.40283312879911687,0.4944199584521508
Q9BQE3,sp|Q9BQE3|TBA1C_HUMAN,1,1,1,1.129,0.98999,0.81842,-0.030417851441066936,0.8277228157535711,
Q9BQG0,sp|Q9BQG0|MBB1A_HUMAN,52,60,55,1.0375,1.004,1.1883,0.10648233046998125,0.24793434257183225,0.3429758405577013
